"id","name","description"
"11","Via Ferrata du Diable - Les Rois Mages","Parcours du complexe des 7 Via Ferrata du Diable, tronçon le plus récent et surtout le plus spectaculaire avec trois passerelles à couper le souffle : la passerelle Gaspard (pont népalais), la passerelle Balthazar (pont de singe) et la passerelle Melchior de 82 mètres, la plus longue au monde en via ferrata. Ce parcours de 300 mètres de niveau TD+ (très difficile) est réservé aux personnes initiées et expérimentées. Durée entre 1h et 1h30. Le départ s'effectue depuis les batteries basses du Fort Victor-Emmanuel, par la meurtrière de droite. Un itinéraire exceptionnel offrant des sensations extrêmes dans un cadre historique unique."
"12","Via Ferrata La Cascade des Nants","Via ferrata de niveau AD (assez difficile) faisant partie des 3 parcours de Bellevaux en accès libre. Ce parcours de 240 mètres évolue sur rocher calcaire en exposition ouest, offrant une belle progression le long d'une cascade dans un environnement forestier préservé. Avec 70 mètres de dénivelé entre 900m et 970m d'altitude, cette via courte mais technique est recommandée aux pratiquants entraînés. Le parcours se réalise en environ 1h15 avec une approche facile. Sans tyrolienne, elle offre une expérience authentique au cÅ“ur de la nature savoyarde. Accessible du 1er avril au 31 octobre, cette via ferrata permet de découvrir les cascades des Nants dans un cadre spectaculaire."
"13","Via Ferrata La Grotte de Cristal et la Tyrolienne","Via ferrata de niveau TD (très difficile) faisant partie des 3 parcours de Bellevaux en accès libre. Ce parcours exigeant de 360 mètres évolue sur rocher calcaire en exposition ouest, recommandé aux pratiquants confirmés. Avec 100 mètres de dénivelé entre 930m et 1030m d'altitude, cette via de longueur moyenne propose des passages techniques et se termine par une tyrolienne spectaculaire. Le parcours se réalise en environ 1h45 avec une marche d'approche nécessitant un petit effort depuis le parking de la place de la mairie. Dans un environnement forestier préservé, cette via ferrata offre une expérience intense et gratifiante pour les grimpeurs expérimentés. Accessible du 1er avril au 31 octobre."
"14","Via Ferrata Le Châtelard","Via ferrata de niveau D+ (difficile+) faisant partie des 3 parcours de Bellevaux en accès libre. Ce parcours technique de 360 mètres évolue sur rocher calcaire en exposition ouest, recommandé aux pratiquants confirmés. Avec 100 mètres de dénivelé entre 930m et 1030m d'altitude, cette via de longueur moyenne offre des passages exigeants dans un environnement forestier. Le parcours se réalise en environ 1h45 avec une marche d'approche nécessitant un petit effort depuis le parking de la place de la mairie. Sans tyrolienne, elle permet de se concentrer sur la technique d'escalade et offre une belle expérience aux grimpeurs expérimentés. Accessible du 1er avril au 31 octobre."
"15","Via Ferrata d'Andagne","Via ferrata en haute montagne se composant de trois parties distinctes offrant une progression adaptée du débutant au confirmé. Le parcours débute par Pierre Blanc dit ""le Pape"", section d'initiation accessible en 5 minutes idéale pour enfants et débutants (niveau F). La deuxième partie, la Vire du Greffier, sert à sécuriser l'accès à la troisième partie (niveau F). Le parcours Guy Favre, du nom d'un guide local disparu dans le massif du Mont Blanc, constitue la vraie via ferrata avec une partie terminale aérienne et exposée (niveau D). Une fois franchie, admirez le magnifique paysage alpin en compagnie des marmottes et chamois avant de rejoindre le parking par un sentier partiellement câblé. Parcours assez long de 3,6 km avec 430 mètres de dénivelé entre 1770m et 2200m d'altitude. IMPORTANT : Zone de Sensibilité Majeure du Gypaète Barbu - Ouverture uniquement du 1er septembre au 31 octobre, fermeture obligatoire du 1er novembre au 31 août pour protéger la nidification."
"16","Mini Via Ferrata de la Carrière de Boisseron","<p>Mini via ferrata ludique et familiale aménagée dans l'ancienne carrière de Boisseron sur les falaises créées par l'exploitation du calcaire coquillé. Ce parcours très court de<strong> 200 mètres</strong> avec une hauteur maximale de 8 mètres est parfaitement adapté aux débutants et aux enfants. Le site insolite propose un parcours varié et amusant : départ par un mur vertical de <strong>8m</strong>, un grand pont népalais de<strong> 25m</strong>, 3 petits ponts de singe et une <strong>tyrolienne de 50m </strong>avec poulie rapide. Approche et retour faciles en 5 minutes chacun. Le site dispose également d'un mur d'escalade avec 25 voies de 5 à 10m (niveau 4a à 6b). Attention : site naturel sans plateforme pour la tyrolienne, les précautions habituelles de sécurité s'imposent. Carrière gérée par l'association Accès Nature. Conception et réalisation par Antipodes en 2013.<strong> </strong></p>"
"17","Via Ferrata Le Roc du Gorb","Via ferrata ludique de niveau PD+ à AD située dans un cadre enchanteur au bord du Viaur, encaissée dans un écrin de verdure. Ce parcours de longueur moyenne offre des paysages variés remarquables : départ aérien avec vue sur le paysage vallonné et la rivière en contrebas, puis immersion en forêt avec la découverte spectaculaire de la petite cascade du ruisseau du Riou que vous pourrez approcher de très près grâce aux différents agrès (passerelle, ponts de singes et népalais, planche en bois). Le parcours se termine par une tyrolienne facultative de 100 mètres avec poulie rapide. Possibilité de faire un rappel de 25 mètres pour les pratiquants équipés. Site familial avec 50 mètres de dénivelé entre 200m et 250m d'altitude. Le site comprend également 135 voies d'escalade du niveau débutant à confirmé. Location de matériel disponible auprès de Mr Doucet Jacques au village de Bar."
"18","Via Ferrata Le Roc du Cornillon - Primevère à Oreille d'Ours","Via ferrata offrant une vue spectaculaire à 180Â° sur le Lac du Bourget depuis le belvédère. Le parcours ""Primevère à Oreille d'Ours"" tire son nom d'une plante rare présente sur le site. Ce parcours de 250 mètres de niveau AD+ évolue dans un environnement exceptionnel combinant lac, forêt et falaise avec des expositions variées (Nord, Est, Sud). Départ à 820m d'altitude avec 30 minutes d'approche depuis le parking du Col du Chat via l'itinéraire pédestre de la Dent du Chat. Retour en 35 minutes. Durée du parcours : 1 heure. Accessible depuis le Bourget-du-Lac (direction Abbaye d'Hautecombe) ou depuis Yenne (direction St Jean de Chevelu). Encadrement possible pour groupes et individuels. Gares SNCF à proximité : Chambéry et Aix-les-Bains."
"19","Via Ferrata Le Roc du Cornillon - Rocher du Cornillon","Via ferrata d'initiation offrant une superbe vue à 180Â° sur le Lac du Bourget depuis le belvédère. Le parcours ""Rocher du Cornillon"" est spécialement conçu pour l'initiation avec 120 mètres de niveau PD+. Ce parcours court évolue en exposition Sud dans un environnement exceptionnel combinant lac, forêt et falaise. Départ à 800m d'altitude avec 30 minutes d'approche depuis le parking du Col du Chat via l'itinéraire pédestre de la Dent du Chat. Retour en 35 minutes. Durée du parcours : 45 minutes. Idéal pour les débutants et entraînés souhaitant découvrir l'activité avec une vue panoramique remarquable. Accessible depuis le Bourget-du-Lac (direction Abbaye d'Hautecombe) ou depuis Yenne (direction St Jean de Chevelu). Encadrement possible pour groupes et individuels. Gares SNCF à proximité : Chambéry et Aix-les-Bains."
"20","Via Ferrata des Gorges d'Ambin","Nouvelle via ferrata inaugurée en juillet 2023, accessible dès 12 ans. Ce parcours de 300 mètres de niveau AD (assez difficile) évolue dans les spectaculaires gorges de l'Ambin à 1570m d'altitude avec environ 60 mètres de dénivelé. L'accès se fait par la nouvelle passerelle Himalayenne de 64 mètres, le départ se trouvant directement à droite après la traversée via un petit portillon. Le parcours propose des agrès variés : 1 pont de singe, 1 pont népalais et 2 tyroliennes en aller-retour. Attention : pas d'échappatoire sur ce parcours qui se pratique dans les gorges en rive droite côté amont de l'Ambin et ressort en rive gauche. Durée approximative : 1h30 avec approche et retour faciles de 5-10 minutes chacun. Environnement exceptionnel de cascade et canyon. Conception et réalisation : Géolithe et YDEMS. Gare SNCF TGV de Modane à 16 km, idéale pour découvrir aussi Valfréjus et Aussois."
"21","Via Ferrata La Croix de Toulouse","Via ferrata de haute montagne de niveau PD (peu difficile) offrant une belle ascension de 800 mètres sur rocher calcaire en orientation Sud. Ce parcours assez long évolue dans un environnement unique combinant haute montagne et proximité de la ville de Briançon. Avec un dénivelé total de 680 mètres (approche comprise) entre le parking du Champ de Mars à 1280m et le sommet de la Croix de Toulouse à 1967m d'altitude, cette via demande une bonne condition physique. La marche d'approche de 35 minutes est suivie d'une ascension de 2h à 3h sur la via. Idéale pour les débutants ayant une bonne endurance, elle offre des panoramas exceptionnels sur Briançon et les montagnes environnantes. Gare SNCF à Briançon. Pour informations sur les conditions et ouvertures, contacter le Bureau des Guides de Briançon."
"22","Via Ferrata Le Saint-Julien - La Grise","Nouveau parcours d'initiation 2023 du complexe du Saint-Julien, l'une des plus belles et plus longues via ferratas d'Europe (2000m au total). ""La Grise"" est une voie d'initiation adaptée aux adultes et enfants à partir de 1.35m de taille. Ce parcours de 300 mètres de niveau AD évolue sur crête avec un accès facile de 5 minutes. Durée approximative : 1 heure. Le site dispose de 3 parkings gratuits (Pin d'Aïs, Font de Ladon et Rieuchaud) avec 30 minutes de marche pour atteindre les départs de voies. Location et vente de matériel disponibles chez Baronnies Sport. Bureau des guides des Baronnies pour accompagnement. Construction YDEMS, maître d'Å“uvre Géolithe. Accessible toute l'année dans un environnement de crête spectaculaire."
"23","Via Ferrata Le Saint-Julien - La Pitchouno ""la petite""","Voie familiale d'initiation du complexe du Saint-Julien, l'une des plus belles et plus longues via ferratas d'Europe (2000m au total). ""La Pitchouno"" signifie ""la petite"" et est parfaitement adaptée aux familles avec une taille minimale requise de 1.25m. Ce parcours court de 170 mètres de niveau PD se réalise entre 30 minutes et 1 heure. Le site évolue sur crête offrant des vues spectaculaires. 3 parkings gratuits disponibles avec 30 minutes de marche d'approche. Location et vente de matériel chez Baronnies Sport. Bureau des guides des Baronnies pour accompagnement. Construction YDEMS, maître d'Å“uvre Géolithe. Accessible toute l'année."
"24","Via Ferrata Le Saint-Julien - La Testouriasso ""la têtue""","Parcours technique du complexe du Saint-Julien, l'une des plus belles et plus longues via ferratas d'Europe (2000m au total). ""La Testouriasso"" signifie ""la têtue"" et justifie son nom avec 440 mètres de niveau D (difficile). Taille minimale requise : 1.55-1.60m. Durée entre 1h45 et 2h15. Ce parcours exigeant évolue sur crête avec un gaz fort offrant des sensations aériennes remarquables. 3 parkings gratuits disponibles avec 30 minutes de marche d'approche. Location et vente de matériel chez Baronnies Sport. Bureau des guides des Baronnies pour accompagnement. Construction YDEMS, maître d'Å“uvre Géolithe. Accessible toute l'année."
"25","Via Ferrata Le Saint-Julien - La Tihousso ""la coriace""","Parcours technique du complexe du Saint-Julien, l'une des plus belles et plus longues via ferratas d'Europe (2000m au total). ""La Tihousso"" signifie ""la coriace"" et propose 460 mètres de niveau D (difficile) avec une tyrolienne facultative - la seule du site entier. Taille minimale requise : 1.50-1.60m. Durée entre 1h45 et 2h15. Ce parcours exigeant évolue sur crête avec un gaz fort offrant des passages aériens spectaculaires. 3 parkings gratuits disponibles avec 30 minutes de marche d'approche. Location et vente de matériel chez Baronnies Sport. Bureau des guides des Baronnies pour accompagnement. Construction YDEMS, maître d'Å“uvre Géolithe. Accessible toute l'année."
"26","Via Ferrata Le Saint-Julien - La Roumpo Quièu ""la casse-cul""","Parcours expert du complexe du Saint-Julien, l'une des plus belles et plus longues via ferratas d'Europe (2000m au total). ""La Roumpo Quièu"" signifie ""la casse-cul"" et constitue le parcours le plus long et difficile avec 640 mètres de niveau D+ incluant un passage facultatif en ED (extrêmement difficile). Taille minimale requise : 1.50-1.60m. Durée entre 2h et 2h30. Ce parcours réservé aux experts évolue sur crête avec un gaz fort offrant des passages très aériens et techniques. 3 parkings gratuits disponibles avec 30 minutes de marche d'approche. Location et vente de matériel chez Baronnies Sport. Bureau des guides des Baronnies pour accompagnement. Construction YDEMS, maître d'Å“uvre Géolithe. Accessible toute l'année."
"27","Rando-Ferrata de la Source de la Moselle - Petite Boucle","Rando-ferrata ludique évoluant sur terrain rocheux facile sans grandes parois verticales, avec plusieurs liaisons herbeuses. La petite boucle est une balade à flanc de colline surplombant la source de la Moselle, proposant une succession d'escalades rocheuses et de cheminements en forêt. Parcours de 560 mètres avec 200 mètres de dénivelé jusqu'à 860m d'altitude. Au programme : la poutre de la Brèche du téléphérique, la passerelle de 25m des Demoiselles et le cirque rocheux du Fer à cheval. Ce parcours de niveau PD offre plusieurs passerelles variées (pont népalais, pont de singe, poutres). Durée avec retour : 1h30 à 2h00. Approche facile dans un environnement forestier vosgien. Gare SNCF de Fellering à 13 minutes en voiture."
"28","Rando-Ferrata de la Source de la Moselle - Grande Boucle","Rando-ferrata évoluant sur terrain rocheux facile sans grandes parois verticales, avec plusieurs liaisons herbeuses. La grande boucle est une version rallongée et plus aventureuse que la première boucle, combinant les deux parties avec l'enchaînement des ponts et des poutres du haut du Charat. Parcours assez long de 850 mètres avec 300 mètres de dénivelé jusqu'à 960m d'altitude. Ce parcours de niveau AD inclut tous les éléments de la petite boucle (poutre de la Brèche du téléphérique, passerelle de 25m des Demoiselles, cirque rocheux du Fer à cheval) plus les passages techniques du haut du Charat. Plusieurs passerelles variées (pont népalais, pont de singe, poutres). Durée totale avec retour : 3h à 3h30. Environnement forestier vosgien dominant la source de la Moselle. Gare SNCF de Fellering à 13 minutes en voiture."
"29","Via Ferrata La Colline Saint-Jacques - Via Natura","Parcours familial innovant de la Colline Saint-Jacques permettant de découvrir la vie des falaises à partir de terrasses d'observation et d'interprétation. ""Via Natura"" propose une approche ludique et sportive de 250 mètres sur falaise calcaire de 50m de hauteur en exposition Sud-Est. Les plates-formes intégrées au cÅ“ur de jardins suspendus rythment et animent le parcours pour en faire un produit touristique et de découverte original. Niveau AD, réservé aux personnes mesurant plus de 1.30m. Agrès variés : pont népalais, échelons, poutres, ponts de grotte, passerelles et terrasses d'interprétation. Durée approximative : 2h. Circuit en boucle avec 1 échappatoire. Accès depuis l'office de tourisme (20 min à pied) ou parking Chemin de l'Ermitage. Gare SNCF de Cavaillon à 26 minutes à pied."
"30","Via Ferrata La Colline Saint-Jacques - Via Souterrata","Parcours sportif et spectaculaire de la Colline Saint-Jacques traversant les grottes du Colombier avant de franchir les Beaumes de Combarelles par des équipements remarquables. ""Via Souterrata"" propose un itinéraire original, ludique et pédagogique de 350 mètres offrant une approche novatrice du paysage et du relief des falaises pour mieux comprendre leur fonctionnement et évolution. Niveau TD (très difficile), réservé aux personnes mesurant plus de 1.50m. Falaise calcaire de 30m de hauteur en exposition Est. Agrès variés : ponts de grotte, échelle de grotte, ponts de singe, passages verticaux, boyaux souterrains et terrasses d'interprétation. Durée approximative : 2h. Circuit en boucle avec 1 échappatoire. Accès depuis l'office de tourisme (20 min à pied) ou parking Chemin de l'Ermitage. Gare SNCF de Cavaillon à 26 minutes à pied."
"31","Via Ferrata La Clapière (La Viste)","Via ferrata de haute montagne réservée aux pratiquants initiés et sportifs. Après une passerelle de 20 mètres, le parcours continue dans des murs beaucoup plus raides et aériens avec un gaz fort. Sur plus de 100 mètres de hauteur, une traversée ascendante vers la gauche franchit une succession de parois verticales avec des passages légèrement déversants. Une dernière dalle très compacte donne accès au sommet à 1980m d'altitude. Parcours de 500 mètres sur rocher calcaire en exposition Sud, combinant niveau AD et D (intermédiaire et difficile). Dénivelé de 260 mètres depuis le parking à 1720m. Ascension approximative de 2 heures avec une approche courte de 5 minutes et un retour en 30 minutes par sentier. Location de matériel disponible au magasin Le Névé Sports dans le village de Ceillac. Environnement exceptionnel du Queyras."
"32","Via Ferrata Le Pas de l'Echelle","Via ferrata historique empruntant un ancien passage utilisé autrefois pour joindre la vallée de l'Oule et la vallée de la Roanne avant la création de la route. Le nom ""Pas de l'Echelle"" vient probablement d'une échelle posée dans le ruisseau de l'Aiguebelle qui permettait au facteur de raccourcir ses tournées. Parcours de 650 mètres avec 198 mètres de dénivelé entre 782m et 980m d'altitude. Deux accès possibles : 1) en bordure de la départementale au niveau du pont par succession d'échelles et poutres en encorbellement, 2) par tyrolienne de 40m avec poulie Petzl speed + longe courte. L'itinéraire se déroule par succession de vires étroites et murs raides en exposition Sud, assez aérien mais rarement athlétique. Une échappatoire avant descente verticale donne accès au sentier de retour. Niveau AD+, durée 1h15 à 1h45, retour 20-30 minutes. Approche facile, gaz moyen."
"33","Via Ferrata Le Rocher de l'Olme","Via ferrata familiale idéale pour la découverte et les premières sensations de grimpe. Ce parcours très court de 120 mètres de niveau F (facile) est parfaitement adapté aux familles et débutants, accessible aux enfants à partir de 1m30 (les enfants de moins de 40kg doivent être encordés). Ã‰quipée de câbles métalliques et échelons, elle évolue en environnement forestier avec un gaz faible. Le parcours permet d'accéder à des panoramas spectaculaires sur les monts du Forez ainsi qu'à un abri en bois situé sur l'esplanade avec table de pique-nique, parfait pour une sortie familiale. Approche facile, pas de tyrolienne. Matériel obligatoire : casque, baudrier, longe avec absorbeur de choc. Gants conseillés. Location de matériel disponible au RDV des Sportifs à la station."
"34","Via Ferrata de Chironne","Via ferrata technique et aérienne dans un environnement exceptionnel surplombant le Diois, invitant à la découverte du milieu vertical. Parcours de 500 mètres avec 160 mètres de dénivelé entre 1215m et 1375m, composé de 4 sections très distinctes de niveau D à TD : 1) La Chandelle débute à droite de l'école d'escalade avec ascension d'une grande dalle et dièdre menant à la brèche (variante plus facile possible), 2) La Traversée des Toits, section la plus impressionnante avec nombreux surplombs athlétiques et vertigineux débouchant sur la grande vire, 3) La Grande Vire, chemin câblé offrant un magnifique belvédère sur le pays du Diois, passage étroit et aérien, 4) La Sortie des Dalles pour atteindre l'ultime bastion. Exposition Est, gaz fort. Retour en 20 minutes par chemin balisé. IMPORTANT : Zone de protection du Vautour Fauve - Période sensible de Décembre à Août, éviter d'y aller durant cette période. Gare SNCF de Die à 25 minutes."
"35","Via Ferrata Les Grosses Pierres","Via ferrata extrêmement difficile et très athlétique réservée exclusivement aux grimpeurs expérimentés. Ce parcours vertical court de 200 mètres avec 80 mètres de dénivelé entre 1290m et 1370m d'altitude offre un défi technique intense dans un environnement de falaise et forêt au-dessus de Champagny le Bas. Niveau ED (extrêmement difficile), exposition Sud avec un gaz fort. Le parcours comprend une poutre et un pont de singe. Durée : 1h à 1h30 pour l'aller, 30 minutes pour le retour. Approche facile depuis le quartier du Planay à Champagny le Bas : prendre le chemin de terre au bout du quartier, puis le sentier qui monte à gauche direction Plan des Mains. Ouvert du 15 juin au 31 octobre sous réserve de conditions météo favorables. Bureau des guides de Champagny disponible en juillet-août pour accompagnement."
"36","Via Ferrata Plan du Bouc","Magnifique randonnée verticale au cÅ“ur de la Vanoise, au-dessus des hameaux de caractère de Champagny le Haut. Via ferrata assez longue de 900 mètres avec 450 mètres de dénivelé entre 1500m et 1950m d'altitude, composée de 2 parcours avec départs différents mais arrivées communes : partie 1 de niveau PD (peu difficile) et partie 2 de niveau AD (assez difficile). Ce parcours en environnement de falaise avec gaz moyen offre une belle progression adaptée du débutant à l'entraîné. Temps d'approche : 15 minutes, retour : 50 minutes. Zone d'escalade à proximité, attention à vos objets. IMPORTANT : Interdite durant le reste de l'année car zone d'hivernage des grands ongulés sauvages. Accessible uniquement du 15 juin au 31 octobre sous réserve de conditions météo favorables. Bureau des guides de Champagny disponible pour accompagnement."
"37","Via Ferrata Les Echelles de la Mort","Via ferrata impressionnante et technique, considérée comme la plus belle du secteur. Parcours assez long de 500 mètres avec 100 mètres de dénivelé à 600m d'altitude, de niveau AD (AD+ selon certains pratiquants) sur rocher calcaire en exposition Sud. Le parcours propose de nombreux ponts de singe dont un remarquable à 3 câbles qui semblera interminable et mouvant, ainsi que des dévers, échelles et une tyrolienne facultative. Durée entre 2 et 3 heures avec échappatoires en cours de route. Vue magnifique sur les gorges du Doubs, appelées Vallée de la Mort en référence au passé de contrebande de la région. Immersion nature garantie dans un environnement de gorges et forêt. Le site comprend également des escaliers (distincts de la via) permettant l'accès au belvédère. Taille minimum : 1m50. Accès par parking de l'usine hydroélectrique du Refrain (route étroite déconseillée aux camping-cars). Bivouac possible sur place avec abris disponibles."
"38","Via Ferrata Le Fort Château-Queyras","Via ferrata familiale au pied du château médiéval de Château-Queyras, le long des spectaculaires gorges du Guil. Parcours de 500 mètres avec seulement 53 mètres de dénivelé entre 1347m et 1400m d'altitude, sur rocher calcaire en exposition Est-Ouest. Le cheminement aérien et ludique avec passerelle et pont népalais convient particulièrement aux enfants et adultes pour une première expérience, niveau PD (peu difficile). Gaz faible, idéal pour les débutants. Points de vue insolites sur la rivière et le château médiéval durant tout le parcours. Durée approximative : 2 heures avec une approche très courte de 2 minutes seulement. NOUVEAUTÃ‰ 2025 : Réouverture de l'autre rive le 15 juillet 2025 après plus de 10 ans de fermeture, travaux effectués par Roc Aventure. Site très fréquenté en période estivale. Environnement exceptionnel de canyon dans le Queyras."
"39","Via Ferrata Les Gorges du Gardon","Via ferrata ludique pour découvrir les gorges du Gardon autrement et prendre de la hauteur. Parcours de 550 mètres de niveau AD+ sur rocher calcaire avec falaises atteignant 50 mètres de hauteur, en exposition Sud/Sud-Est. Le parcours propose des échelons, de belles prises naturelles, un pont de singe et 2 petites tyroliennes avec poulies speed (rapides). Vous serez plongé au cÅ“ur du cadre rafraîchissant des gorges du Gardon dans un environnement de gorges et forêt. Durée approximative : 1 heure avec 15 minutes d'approche. 3 échappatoires disponibles. ATTENTION : les tyroliennes ne disposent pas de plateforme au départ ni de tapis de réception ou corde à l'arrivée - freinez-vous avec les gants et évitez de mettre les mains devant par réflexe. Le parcours n'est pas très bien balisé. Parking Place du Marché (sauf mercredis matin) ou nouveau parking gratuit Chemin de Vignette. Conception et réalisation : Techni Grimp. Gare SNCF de Remoulins."
"40","Via Ferrata Le Rocher de Neuf heures (Rocher de 9H)","Via ferrata au départ du centre-ville offrant plusieurs itinéraires et une vue imprenable sur Digne les Bains. Parcours assez long de 750 mètres de niveau AD+ à D (assez difficile à difficile) avec un gaz fort, en exposition Sud-Est garantissant un ensoleillement toute l'année. En été, il est recommandé de s'y rendre le matin pour profiter de la fraîcheur de l'ombre. Durée très variable selon itinéraire choisi : de 45 minutes à 3h30/4h. Départ à 600m d'altitude. Avant de redescendre, ne manquez pas le magnifique point de vue depuis le Rocher de 9H. Marche d'approche de 45 min à 1h, retour en 30 minutes. Accessible aux enfants à partir d'1m40 et 40 kg. Location d'équipement complet disponible (adulte 17â‚¬, enfant/étudiant 15â‚¬). ACCÃˆS : Chemin de Pied Cocu - NE PAS passer par le camping du Bourg (accès bloqué par portail). Horaires : 7h-19h (15/04-15/10), 8h-16h (16/10-14/04). Respecter le sens de l'itinéraire."
